"time","CA","CB","CP","CI","X_A","Y_P","S_P","purity","production_rate","reactor"
59,0.117143825297885,0.317143825297885,0.792919141796434,0.089937032905682,0.882856174702115,0.792919141796434,0.898129461648544,0.898129461648544,2.3787574253893,"CSTR"
59.5,0.117143825280241,0.317143825280241,0.79291914181228,0.0899370329074794,0.882856174719759,0.79291914181228,0.898129461648544,0.898129461648544,2.37875742543684,"CSTR"
60,0.117143825265398,0.317143825265398,0.792919141825611,0.0899370329089915,0.882856174734603,0.792919141825611,0.898129461648544,0.898129461648544,2.37875742547683,"CSTR"
60.5,0.11714382525291,0.31714382525291,0.792919141836827,0.0899370329102636,0.88285617474709,0.792919141836827,0.898129461648544,0.898129461648544,2.37875742551048,"CSTR"
61,0.117143825242405,0.317143825242405,0.792919141846262,0.0899370329113337,0.882856174757595,0.792919141846262,0.898129461648544,0.898129461648544,2.37875742553878,"CSTR"
61.5,0.117143825233567,0.317143825233567,0.792919141854199,0.0899370329122341,0.882856174766433,0.792919141854199,0.898129461648544,0.898129461648544,2.3787574255626,"CSTR"
62,0.117143825226132,0.317143825226132,0.792919141860877,0.0899370329129915,0.882856174773868,0.792919141860877,0.898129461648544,0.898129461648544,2.37875742558263,"CSTR"
62.5,0.117143825219877,0.317143825219877,0.792919141866494,0.0899370329136287,0.882856174780123,0.792919141866494,0.898129461648544,0.898129461648544,2.37875742559948,"CSTR"
63,0.117143825214615,0.317143825214615,0.79291914187122,0.0899370329141647,0.882856174785385,0.79291914187122,0.898129461648544,0.898129461648544,2.37875742561366,"CSTR"
63.5,0.117143825210188,0.317143825210188,0.792919141875196,0.0899370329146157,0.882856174789812,0.792919141875196,0.898129461648544,0.898129461648544,2.37875742562559,"CSTR"
64,0.117143825206464,0.317143825206464,0.792919141878541,0.0899370329149951,0.882856174793536,0.792919141878541,0.898129461648544,0.898129461648544,2.37875742563562,"CSTR"
64.5,0.117143825203331,0.317143825203331,0.792919141881355,0.0899370329153142,0.882856174796669,0.792919141881355,0.898129461648544,0.898129461648544,2.37875742564407,"CSTR"
65,0.117143825200695,0.317143825200695,0.792919141883722,0.0899370329155828,0.882856174799305,0.792919141883722,0.898129461648544,0.898129461648544,2.37875742565117,"CSTR"
